Building,Day,In,Out,Reason
Null,Feb/3/2019,Null,Null,Null
Psych\CS Building,Feb/4/2019,15:36,18:26,CSCI 627
Psych\CS Building,Feb/5/2019,10:36,12:20,CSCI 503
Psych\CS Building,Feb/5/2019,14:51,16:26,Meet with CSCI 503 TA
Reavis Hall,Feb/5/2019,16:33,16:43,Meet with a friend
Adams Hall,Feb/6/2019,15:28,15:53,Consultation
Psych\CS Building,Feb/6/2019,16:00,18:22,CSCI 627
Psych\CS Building,Feb/7/2020,10:37,12:09,CSCI 503
Founders Memorial Library,Feb/8/2021,15:19,17:02,Self study
Founders Memorial Library,Feb/9/2022,14:09,16:23,Self study
Student Recreation Center,Feb/9/2023,16:52,18:28,Playing Basketball
