Day,Building,In,Out,Reason
2019/02/03,"Student Recreation Center",17:00:00,19:00:00,"Gym and Volleyball"
2019/02/04,"Psychology and Computer Science",16:52:00,18:21:00,"Data Visualization"
2019/02/05,"Psychology and Computer Science",10:50:00,12:20:00,Python
2019/02/05,"Psychology and Computer Science",01:55:00,03:30:00,"Information Storage and Retrieval"
2019/02/06,"Psychology and Computer Science",16:52:00,18:21:00,"Data Visualization"
2019/02/07,"Psychology and Computer Science",10:52:00,12:45:00,Python
2019/02/07,"Psychology and Computer Science",13:45:00,15:25:00,"Information Storage and Retrieval"
2019/02/07,"Student Recreation Center",17:10:00,19:17:00,"Gym and Volleyball"
2019/02/08,"Holmes Student Center",17:20:00,18:14:00,"ISA Meeting"
2019/02/09,"Founders Library",11:33:00,15:10:00,Study
2019/02/09,"Student Recreation Center",16:40:00,18:22:00,"Gym and Volleyball"
