Building,Day,Weekend,In,Out,Reason
Writz Hall,2/3/19,Sunday,12:30,14:00,Chinese New Year Active
Student Recreation Center,2/3/19,Sunday,17:00,18:28,Fitness
Psychology-Computer Science ,2/4/19,Monday,16:45,18:15,Data Visualization Class
Psychology-Computer Science ,2/5/19,Tuesday,10:45,12:20,Python Class
Psychology-Computer Science ,2/5/19,Tuesday,13:45,15:20,Algorithm Class
Student Recreation Center,2/5/19,Tuesday,16:00,17:36,Fitness
Student Recreation Center,2/6/19,Wednesday,9:15,10:00,Fitness
Founders Memorial Library,2/6/19,Wednesday,13:45,16:40,homework
Psychology-Computer Science ,2/6/19,Wednesday,16:50,18:15,Data Visualization Class
Psychology-Computer Science ,2/7/19,Thursday,10:45,12:20,Python Class
Psychology-Computer Science ,2/7/19,Thursday,12:30,15:25,Algorithm Class
Student Recreation Center,2/7/19,Thursday,17:30,18:15,Fitness
Engineering Building,2/7/19,Thursday,19:15,20:05,Robotic Club
Campus Life Buliding,2/8/19,Friday,16:15,21:15,Chinese New Year Active
Student Recreation Center,2/9/19,Saturday,13:11,15:10,Fitness
