Building,Day,Time-In,Time-Out,Reason
Psych/Comp Science Building,02-04-2019,04:45 PM,06:20 PM,CSCI 627
Gabel Hall,02-04-2019,06:30 PM,06:40 PM,Meet with an RA
Psych/Comp Science Building,02-05-2019,10:45 AM,12:20 PM,CSCI 503
Gilbert Hall,02-05-2019,12:35 PM,01:45 PM,Lunch
Psych/Comp Science Building,02-05-2019,01:55 PM,03:20 PM,CSCI 642
Founder Memorial Library,02-06-2019,03:20 PM,04:30 PM,Library
Psych/Comp Science Building,02-06-2019,04:45 PM,06:20 PM,CSCI 627
Psych/Comp Science Building,02-07-2019,10:45 AM,12:20 PM,CSCI 503
Psych/Comp Science Building,02-07-2019,01:50 PM,03:20 PM,CSCI 642
Faraday Hall,02-08-2019,12:15 PM,12:35 PM,Meet with TA for CSCI 503 
Faraday Hall,02-08-2019,01:30 PM,01:40 PM,Meet with TA for CSCI 322
