Day,In,Out,Building,Reason,mood,peried(h : mm)
2/3,17:00,19:00,recreation center,workout,good,2 : 00
2/4,10:00,11:30,Cole Hall,Android class,good,1 : 30
2/4,17:00,18:30,NIU Computer Science Building,Date Vis,good,1 : 30
2/4,20:00,22:10,recreation center,workout,really good,2 : 10
2/5,11:00,12:20,NIU Computer Science Building,Python,sad,1 : 20
2/5,19:30,21:30,recreation center,workout,good,2 : 00
2/6,10:00,11:30,Cole Hall,Android class,good,1 : 30
2/6,17:00,18:30,NIU Computer Science Building,Date Vis,good,1 : 30
2/6,20:00,21:20,recreation center,workout,tired,1 : 20
2/7,11:00,12:20,NIU Computer Science Building,Python,good,1 : 20
2/7,19:40,23:00,recreation center,basketball,very good,3 : 20
2/8,12:20,15:00,NIU College of Business,study and go the homework,good,2 : 40
2/9,13:00,14:40,recreation center,workout,really good,1 : 40
