Datetime,Day,Image filename,Location,Purpose
2/4/2019 14:21,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (1).jpg,outside,travel - walking
2/4/2019 14:25,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (2).jpg,outside,travel - walking
2/4/2019 14:27,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (3).jpg,outside,travel - walking
2/4/2019 14:30,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (4).jpg,outside,travel - walking
2/4/2019 14:32,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (5).jpg,outside,travel - walking
2/4/2019 14:35,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (6).jpg,outside,travel - walking
2/4/2019 14:38,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (7).jpg,outside,travel - walking
2/4/2019 14:41,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (8).jpg,outside,travel - walking
2/4/2019 14:43,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (9).jpg,outside,travel - walking
2/4/2019 14:46,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (10).jpg,Founders Memorial Library,study
2/4/2019 14:51,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (11).jpg,Founders Memorial Library,study
2/4/2019 14:56,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (12).jpg,Founders Memorial Library,study
2/4/2019 15:00,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (13).jpg,Founders Memorial Library,study
2/4/2019 15:04,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (14).jpg,Founders Memorial Library,study
2/4/2019 15:08,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (15).jpg,Founders Memorial Library,study
2/4/2019 15:11,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (16).jpg,Founders Memorial Library,study
2/4/2019 15:14,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (17).jpg,Founders Memorial Library,study
2/4/2019 15:18,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (18).jpg,Founders Memorial Library,study
2/4/2019 15:22,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (19).jpg,Founders Memorial Library,study
2/4/2019 15:25,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (20).jpg,Founders Memorial Library,study
2/4/2019 15:30,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (21).jpg,Founders Memorial Library,study
2/4/2019 15:33,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (22).jpg,Founders Memorial Library,study
2/4/2019 15:36,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (23).jpg,Founders Memorial Library,study
2/4/2019 15:42,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (24).jpg,Founders Memorial Library,study
2/4/2019 15:48,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (25).jpg,Founders Memorial Library,study
2/4/2019 15:55,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (26).jpg,Founders Memorial Library,study
