Building,In,Out,Reason
Recreation Center,2/4/19 11:30,2/4/19 12:30,exercise
Panda House,2/4/19 13:00,2/4/19 13:30,lunch
Psychology/C.S. building,2/4/19 14:00,2/4/19 18:15,class
Psychology/C.S. building,2/5/19 9:30,2/5/19 10:45,class
Holmes Student Center,2/5/19 11:00,2/5/19 14:00,lunch
Recreation Center,2/6/19 11:00,2/6/19 12:30,exercise
Holmes Student Center,2/6/19 13:00,2/6/19 13:30,lunch
Altgeld Hall,2/6/19 13:45,2/6/19 16:30,homework
Psychology/C.S. building,2/6/19 17:00,2/6/19 18:15,class
Psychology/C.S. building,2/7/19 9:30,2/7/19 10:45,class
Holmes Student Center,2/7/19 11:00,2/7/19 11:30,lunch
Altgeld Hall,2/7/19 11:45,2/7/19 16:00,homework
Holmes Student Center,2/8/19 17:00,2/8/19 21:30,homework
