Date,In,Out,Day,InMins,Building,Latitude,Longitude,Reason,SubReason
2019/02/04,"2019/02/04 12:12:00","2019/02/04 12:55:00",Mon,43.00000000395812,SH,41.9344497377775,-88.7625735998153,Research,Meeting
2019/02/04,"2019/02/04 12:58:00","2019/02/04 15:28:00",Mon,149.99999999650754,SH,41.9344497377775,-88.7625735998153,Research,Lab
2019/02/05,"2019/02/05 10:59:00","2019/02/05 12:17:00",Tue,78.00000000279397,PM,41.9315644372539,-88.7650170922279,Python,Class
2019/02/05,"2019/02/05 12:20:00","2019/02/05 12:48:00",Tue,27.9999999969732,PM,41.9315644372539,-88.7650170922279,Python,Class
2019/02/05,"2019/02/05 13:11:00","2019/02/05 14:19:00",Tue,68.00000000162981,AD,41.9357347120459,-88.7652987241745,IRB,
2019/02/06,"2019/02/06 11:07:00","2019/02/06 12:47:00",Wed,100.00000000116415,PM,41.9315644372539,-88.7650170922279,Thesis,
2019/02/06,"2019/02/06 12:57:00","2019/02/06 14:09:00",Wed,72.00000000419095,SH,41.9344497377775,-88.7625735998153,Research,Lab
2019/02/06,"2019/02/06 14:17:00","2019/02/06 16:56:00",Wed,159.00000000488944,PM,41.9315644372539,-88.7650170922279,DataVis,Assignment
2019/02/06,"2019/02/06 16:57:00","2019/02/06 18:24:00",Wed,87.00000000069849,PM,41.9315644372539,-88.7650170922279,DataVis,Class
2019/02/07,"2019/02/07 10:57:00","2019/02/07 12:12:00",Thu,74.99999999301508,PM,41.9315644372539,-88.7650170922279,Python,Class
2019/02/07,"2019/02/07 12:47:00","2019/02/07 13:21:00",Thu,34.0000000060536,AD,41.9357347120459,-88.7650170922279,Grad,
2019/02/07,"2019/02/07 13:25:00","2019/02/07 14:04:00",Thu,38.999999990919605,WI,41.935176,-88.765043,OPT,
