Date,Building,In,Out,Reason
2019/02/04,"friends place",12:00:00,08:00:00,hangout
2019/02/04,home,08:00:00,14:00:00,"cooking, gaming , studying"
2019/02/04,"recreational center",14:20:00,16:00:00,workout
2019/02/04,home,16:10:00,18:00:00,"fresh up, finish english assignment"
2019/02/04,"Mardi Gras Lanes",18:00:00,22:00:00,bowling
2019/02/04,Home,22:30:00,12:00:00,"dinner, laundry"
2019/02/05,home,12:00:00,08:00:00,sleep
2019/02/05,Library,08:00:00,13:00:00,"work "
2019/02/05,Home,13:30:00,16:30:00,"eat, read data vis papers"
2019/02/05,"Psychology Building",17:00:00,18:15:00,"Data Visualisation class"
2019/02/05,"Walmart, HyVee",18:30:00,20:30:00,"Groceries Shopping"
2019/02/06,Home,21:00:00,12:00:00,"eat, finish assignment"
2019/02/06,home,12:00:00,06:30:00,sleep
2019/02/06,home,06:30:00,12:00:00,"read IRS slides"
2019/02/06,"Reavis Hall",12:30:00,13:45:00,"English class"
2019/02/06,"Psychology Building",13:45:00,15:15:00,"Information Storage and Retrival Class"
2019/02/06,Library,16:00:00,22:00:00,work
2019/02/07,Home,12:00:00,08:30:00,sleep
2019/02/07,Starbucks,10:00:00,14:00:00,study
2019/02/07,Home,14:20:00,16:30:00,"lunch, assignment corrections"
2019/02/07,"Psychology Building",17:00:00,18:15:00,"Data Visualisation class"
2019/02/07,home,18:30:00,12:00:00,"datacamp courses"
2019/02/08,Home,12:00:00,04:00:00,"watched environment documentaries"
2019/02/08,"Reavis Hall",12:30:00,13:45:00,"English class"
2019/02/08,"Psychology Building",13:45:00,15:15:00,"Information Storage and Retrival Class"
2019/02/08,Library,16:00:00,20:00:00,Work
2019/02/08,"recreational center",20:30:00,22:00:00,workout
2019/02/09,home,12:00:00,15:00:00,"sleep, study, cook"
2019/02/09,"Recreational Center",15:30:00,17:00:00,"Table Tennis"
2019/02/09,"Gurukrupa,Walmart",18:00:00,19:00:00,"Groceries Shopping"
2019/02/09,Home,19:30:00,23:00:00,"datacamp courses"
2019/02/09,Mollys,23:00:00,12:00:00,chill
