,Day,Time In,Time Out,Location,Reason,Time_In,Time_Out,Time_Diff
0,2/4/19,11:00,15:55,Faraday,Work,2019-02-04 11:00:00,2019-02-04 15:55:00,295.0
1,2/4/19,16:00,16:25,Library,coffee,2019-02-04 16:00:00,2019-02-04 16:25:00,25.0
2,2/4/19,16:30,16:45,Faraday,grab laptop,2019-02-04 16:30:00,2019-02-04 16:45:00,15.0
3,2/4/19,16:50,18:20,CSCI,class,2019-02-04 16:50:00,2019-02-04 18:20:00,90.0
4,2/4/19,18:25,18:30,Faraday,grab backpack,2019-02-04 18:25:00,2019-02-04 18:30:00,5.0
5,2/6/19,11:30,15:25,Faraday,Work,2019-02-06 11:30:00,2019-02-06 15:25:00,235.0
6,2/6/19,15:30,15:55,Library,coffee,2019-02-06 15:30:00,2019-02-06 15:55:00,25.0
7,2/6/19,16:00,16:45,Faraday,Work,2019-02-06 16:00:00,2019-02-06 16:45:00,45.0
8,2/6/19,16:50,18:20,CSCI,class,2019-02-06 16:50:00,2019-02-06 18:20:00,90.0
9,2/6/19,18:25,18:30,Faraday,grab backpack,2019-02-06 18:25:00,2019-02-06 18:30:00,5.0
10,2/8/19,13:30,17:00,Faraday,work,2019-02-08 13:30:00,2019-02-08 17:00:00,210.0
