,Day,In,Out,Building,Reason,Time_In,Time_Out,Time_Diff
0,2/3/2019,2:00PM,4:00PM,Founders Library,Studying Algorithms,2019-02-03 14:00:00,2019-02-03 16:00:00,120.0
1,2/3/2019,4:15PM,5:00PM,Recreation Center,Gym,2019-02-03 16:15:00,2019-02-03 17:00:00,45.0
2,2/4/2019,5:00PM,6:15PM,Psych-ComputerScience,CSCI627 Class,2019-02-04 17:00:00,2019-02-04 18:15:00,75.0
3,2/5/2019,2:00PM,3:15PM,Psych-ComputerScience,CSCI602 Class,2019-02-05 14:00:00,2019-02-05 15:15:00,75.0
4,2/5/2019,4:00PM,5:00PM,Recreation Center,Gym,2019-02-05 16:00:00,2019-02-05 17:00:00,60.0
5,2/6/2019,5:00PM,6:15PM,psych-ComputerScience,CSCI627 Class,2019-02-06 17:00:00,2019-02-06 18:15:00,75.0
6,2/6/2019,6:30PM,7:30PM,Recreation Center,Gym,2019-02-06 18:30:00,2019-02-06 19:30:00,60.0
7,2/7/2019,2:00PM,3:15PM,psych-ComputerScience,CSCI602 Class,2019-02-07 14:00:00,2019-02-07 15:15:00,75.0
8,2/7/2019,3:30PM,4:30PM,Recreation Center,Gym,2019-02-07 15:30:00,2019-02-07 16:30:00,60.0
9,2/8/2019,10:00AM,10:30AM,Willston hall,ISFO,2019-02-08 10:00:00,2019-02-08 10:30:00,30.0
10,2/9/2019,11:00AM,12:20PM,Founders Library,Project Work,2019-02-09 11:00:00,2019-02-09 12:20:00,80.0
