,Day,Building,In,Out,Reason,Time_In,Time_Out,Time_Diff
0,2019/02/03,Student Recreation Center,17:00:00,19:00:00,Gym and Volleyball,2019-02-03 17:00:00,2019-02-03 19:00:00,120.0
1,2019/02/04,Psychology and Computer Science,16:52:00,18:21:00,Data Visualization,2019-02-04 16:52:00,2019-02-04 18:21:00,89.0
2,2019/02/05,Psychology and Computer Science,10:50:00,12:20:00,Python,2019-02-05 10:50:00,2019-02-05 12:20:00,90.0
3,2019/02/05,Psychology and Computer Science,01:55:00,03:30:00,Information Storage and Retrieval,2019-02-05 01:55:00,2019-02-05 03:30:00,95.0
4,2019/02/06,Psychology and Computer Science,16:52:00,18:21:00,Data Visualization,2019-02-06 16:52:00,2019-02-06 18:21:00,89.0
5,2019/02/07,Psychology and Computer Science,10:52:00,12:45:00,Python,2019-02-07 10:52:00,2019-02-07 12:45:00,113.0
6,2019/02/07,Psychology and Computer Science,13:45:00,15:25:00,Information Storage and Retrieval,2019-02-07 13:45:00,2019-02-07 15:25:00,100.0
7,2019/02/07,Student Recreation Center,17:10:00,19:17:00,Gym and Volleyball,2019-02-07 17:10:00,2019-02-07 19:17:00,127.0
8,2019/02/08,Holmes Student Center,17:20:00,18:14:00,ISA Meeting,2019-02-08 17:20:00,2019-02-08 18:14:00,54.0
9,2019/02/09,Founders Library,11:33:00,15:10:00,Study,2019-02-09 11:33:00,2019-02-09 15:10:00,217.0
10,2019/02/09,Student Recreation Center,16:40:00,18:22:00,Gym and Volleyball,2019-02-09 16:40:00,2019-02-09 18:22:00,102.0
