,Building,Day,Reason,Time_Out,Time_In,Time_Diff
0,Psych/Comp Science Building,02-04-2019,CSCI 627,2019-02-04 18:20:00,2019-02-04 16:45:00,95.0
1,Gabel Hall,02-04-2019,Meet with an RA,2019-02-04 18:40:00,2019-02-04 18:30:00,10.0
2,Psych/Comp Science Building,02-05-2019,CSCI 503,2019-02-05 12:20:00,2019-02-05 10:45:00,95.0
3,Gilbert Hall,02-05-2019,Lunch,2019-02-05 13:45:00,2019-02-05 12:35:00,70.0
4,Psych/Comp Science Building,02-05-2019,CSCI 642,2019-02-05 15:20:00,2019-02-05 13:55:00,85.0
5,Founder Memorial Library,02-06-2019,Library,2019-02-06 16:30:00,2019-02-06 15:20:00,70.0
6,Psych/Comp Science Building,02-06-2019,CSCI 627,2019-02-06 18:20:00,2019-02-06 16:45:00,95.0
7,Psych/Comp Science Building,02-07-2019,CSCI 503,2019-02-07 12:20:00,2019-02-07 10:45:00,95.0
8,Psych/Comp Science Building,02-07-2019,CSCI 642,2019-02-07 15:20:00,2019-02-07 13:50:00,90.0
9,Faraday Hall,02-08-2019,Meet with TA for CSCI 503 ,2019-02-08 12:35:00,2019-02-08 12:15:00,20.0
10,Faraday Hall,02-08-2019,Meet with TA for CSCI 322,2019-02-08 13:40:00,2019-02-08 13:30:00,10.0
