,Date,Building,Time-In,Time-Out,Reason,Time_In,Time_Out,Time_Diff
0,2019/02/04,Cole Hall,10:00:00,11:25:00,Android Programming Class,2019-02-04 10:00:00,2019-02-04 11:25:00,85.0
1,2019/02/04,Health Services,11:30:00,12:20:00,Medicine Re-Fill,2019-02-04 11:30:00,2019-02-04 12:20:00,50.0
2,2019/02/04,Gabel Hall,13:00:00,16:30:00,RA Office Hours,2019-02-04 13:00:00,2019-02-04 16:30:00,210.0
3,2019/02/04,Computer Science and Psycology Building,16:45:00,18:20:00,Data Visualization Class,2019-02-04 16:45:00,2019-02-04 18:20:00,95.0
4,2019/02/05,Computer Science and Psycology Building,11:00:00,12:20:00,Computer Networks Class,2019-02-05 11:00:00,2019-02-05 12:20:00,80.0
5,2019/02/05,McDonalds,12:40:00,13:15:00,Lunch,2019-02-05 12:40:00,2019-02-05 13:15:00,35.0
6,2019/02/05,Gabel Hall,13:35:00,18:40:00,RA Office Hours,2019-02-05 13:35:00,2019-02-05 18:40:00,305.0
7,2019/02/06,Cole Hall,10:10:00,11:20:00,Android Programming Class,2019-02-06 10:10:00,2019-02-06 11:20:00,70.0
8,2019/02/06,Chipotle,11:45:00,12:15:00,Lunch,2019-02-06 11:45:00,2019-02-06 12:15:00,30.0
9,2019/02/06,Gabel Hall,12:20:00,16:30:00,RA Office Hours,2019-02-06 12:20:00,2019-02-06 16:30:00,250.0
10,2019/02/06,Computer Science and Psycology Building,16:45:00,18:20:00,Data Visualization Class,2019-02-06 16:45:00,2019-02-06 18:20:00,95.0
11,2019/02/07,Computer Science and Psycology Building,11:00:00,12:20:00,Computer Networks Class,2019-02-07 11:00:00,2019-02-07 12:20:00,80.0
12,2019/02/07,Chipotle,12:40:00,13:10:00,Lunch,2019-02-07 12:40:00,2019-02-07 13:10:00,30.0
13,2019/02/07,Gabel Hall,13:15:00,19:00:00,RA Office Hours,2019-02-07 13:15:00,2019-02-07 19:00:00,345.0
14,2019/02/08,NIU Student Recreation Center,16:00:00,17:00:00,Work-Out,2019-02-08 16:00:00,2019-02-08 17:00:00,60.0
