,Building,Day,IN,HR IN,OUT,HR OUT,Reason,Time_In,Time_Out,Time_Diff
0,Parking,2/3/2019,12:04:00,,12:06:00,,Car Park,2019-02-03 12:04:00,2019-02-03 12:06:00,2.0
1,Farday Hall,2/3/2019,12:10:00,,13:30:00,,Office - Collect laptop,2019-02-03 12:10:00,2019-02-03 13:30:00,80.0
2,Parking,2/3/2019,13:35:00,,13:42:00,,Car Pickup,2019-02-03 13:35:00,2019-02-03 13:42:00,7.0
3,Parking,2/4/2019,15:00:00,,15:07:00,,Car Park,2019-02-04 15:00:00,2019-02-04 15:07:00,7.0
4,farday Hall,2/4/2019,15:12:00,,16:58:00,,Office ,2019-02-04 15:12:00,2019-02-04 16:58:00,106.0
5,Computer science building,2/4/2019,17:02:00,,18:17:00,,CSCI 627,2019-02-04 17:02:00,2019-02-04 18:17:00,75.0
6,Farday Hall,2/4/2019,17:23:00,,19:42:00,,Office ,2019-02-04 17:23:00,2019-02-04 19:42:00,139.0
7,Parking,2/4/2019,19:48:00,,19:55:00,,Car Pickup,2019-02-04 19:48:00,2019-02-04 19:55:00,7.0
8,Parking,2/5/2019,10:00:00,,10:12:00,,Car Park,2019-02-05 10:00:00,2019-02-05 10:12:00,12.0
9,Farday Hall,2/5/2019,10:18:00,,15:00:00,,Office ,2019-02-05 10:18:00,2019-02-05 15:00:00,282.0
10,Holmes Student Center,2/5/2019,15:14:00,,15:58:00,,Lunch,2019-02-05 15:14:00,2019-02-05 15:58:00,44.0
11,Parking,2/5/2019,16:08:00,,16:14:00,,Car Pickup,2019-02-05 16:08:00,2019-02-05 16:14:00,6.0
12,Rec Center,2/6/2019,07:06:00,,07:51:00,,Exercise,2019-02-06 07:06:00,2019-02-06 07:51:00,45.0
13,Parking,2/6/2019,09:15:00,,09:28:00,,Car Park,2019-02-06 09:15:00,2019-02-06 09:28:00,13.0
14,Farday Hall,2/6/2019,09:44:00,,14:05:00,,Office ,2019-02-06 09:44:00,2019-02-06 14:05:00,261.0
15,Library,2/6/2019,14:14:00,,14:58:00,,Lunch,2019-02-06 14:14:00,2019-02-06 14:58:00,44.0
16,Farday Hall,2/6/2019,15:06:00,,16:57:00,,Office ,2019-02-06 15:06:00,2019-02-06 16:57:00,111.0
17,Computer science building,2/6/2019,17:04:00,,18:23:00,,CSCI 627,2019-02-06 17:04:00,2019-02-06 18:23:00,79.0
18,Parking,2/6/2019,18:29:00,,18:34:00,,Car Pickup,2019-02-06 18:29:00,2019-02-06 18:34:00,5.0
19,Parking,2/7/2019,09:45:00,,09:51:00,,Car Park,2019-02-07 09:45:00,2019-02-07 09:51:00,6.0
20,Computer science building,2/7/2019,09:56:00,,12:15:00,,240 Office hours,2019-02-07 09:56:00,2019-02-07 12:15:00,139.0
21,Holmes Student Center,2/7/2019,12:23:00,,13:21:00,,Lunch,2019-02-07 12:23:00,2019-02-07 13:21:00,58.0
22,Parking,2/7/2019,13:29:00,,13:35:00,,Car Pickup,2019-02-07 13:29:00,2019-02-07 13:35:00,6.0
23,Rec Center,2/7/2019,17:07:00,,19:08:00,,Exercise/Sauna,2019-02-07 17:07:00,2019-02-07 19:08:00,121.0
24,Parking,2/8/2019,09:58:00,,10:04:00,,Car Park,2019-02-08 09:58:00,2019-02-08 10:04:00,6.0
25,Computer science building,2/8/2019,10:08:00,,12:18:00,,240 Office hours,2019-02-08 10:08:00,2019-02-08 12:18:00,130.0
26,Parking,2/8/2019,12:24:00,,12:29:00,,Car Pickup,2019-02-08 12:24:00,2019-02-08 12:29:00,5.0
27,Rec Center,2/8/2019,17:06:00,,18:45:00,,Exercise,2019-02-08 17:06:00,2019-02-08 18:45:00,99.0
28,Rec Center,2/9/2019,17:54:00,,18:52:00,,Exercise,2019-02-09 17:54:00,2019-02-09 18:52:00,58.0
