,Building,In,Out,Reason,Time_In,Time_Out,Time_Diff
0,Recreation Center,2/4/19 11:30,2/4/19 12:30,exercise,2019-02-04 11:30:00,2019-02-04 12:30:00,60.0
1,Panda House,2/4/19 13:00,2/4/19 13:30,lunch,2019-02-04 13:00:00,2019-02-04 13:30:00,30.0
2,Psychology/C.S. building,2/4/19 14:00,2/4/19 18:15,class,2019-02-04 14:00:00,2019-02-04 18:15:00,255.0
3,Psychology/C.S. building,2/5/19 9:30,2/5/19 10:45,class,2019-02-05 09:30:00,2019-02-05 10:45:00,75.0
4,Holmes Student Center,2/5/19 11:00,2/5/19 14:00,lunch,2019-02-05 11:00:00,2019-02-05 14:00:00,180.0
5,Recreation Center,2/6/19 11:00,2/6/19 12:30,exercise,2019-02-06 11:00:00,2019-02-06 12:30:00,90.0
6,Holmes Student Center,2/6/19 13:00,2/6/19 13:30,lunch,2019-02-06 13:00:00,2019-02-06 13:30:00,30.0
7,Altgeld Hall,2/6/19 13:45,2/6/19 16:30,homework,2019-02-06 13:45:00,2019-02-06 16:30:00,165.0
8,Psychology/C.S. building,2/6/19 17:00,2/6/19 18:15,class,2019-02-06 17:00:00,2019-02-06 18:15:00,75.0
9,Psychology/C.S. building,2/7/19 9:30,2/7/19 10:45,class,2019-02-07 09:30:00,2019-02-07 10:45:00,75.0
10,Holmes Student Center,2/7/19 11:00,2/7/19 11:30,lunch,2019-02-07 11:00:00,2019-02-07 11:30:00,30.0
11,Altgeld Hall,2/7/19 11:45,2/7/19 16:00,homework,2019-02-07 11:45:00,2019-02-07 16:00:00,255.0
12,Holmes Student Center,2/8/19 17:00,2/8/19 21:30,homework,2019-02-08 17:00:00,2019-02-08 21:30:00,270.0
