,Building,Date,Reason,Time_In,Time_Out,Time_Diff
0,Parking Garage,2/4/2019,park car,2019-02-04 04:47:00,2019-02-04 04:49:00,2.0
1,computer science building,2/4/2019,go to data visualization,2019-02-04 04:51:00,2019-02-04 06:14:00,83.0
2,Parking Garage,2/4/2019,retrieve car,2019-02-04 06:15:00,2019-02-04 06:22:00,7.0
3,Parking Garage,2/5/2019,park car,2019-02-05 12:58:00,2019-02-05 01:29:00,-689.0
4,computer science building,2/5/2019,go to algorithms,2019-02-05 01:34:00,2019-02-05 03:17:00,103.0
5,Founders Library,2/5/2019,reload niu one card,2019-02-05 03:21:00,2019-02-05 03:30:00,9.0
6,Parking Garage,2/5/2019,retrieve car,2019-02-05 03:33:00,2019-02-05 03:39:00,6.0
7,Parking Garage,2/6/2019,park car,2019-02-06 04:45:00,2019-02-06 04:52:00,7.0
8,computer science building,2/6/2019,go to data visualization,2019-02-06 04:54:00,2019-02-06 06:03:00,69.0
9,Parking Garage,2/6/2019,retrieve car,2019-02-06 06:06:00,2019-02-06 06:10:00,4.0
10,Parking Garage,2/7/2019,park car,2019-02-07 01:18:00,2019-02-07 01:23:00,5.0
11,computer science building,2/7/2019,go to algorithms,2019-02-07 01:26:00,2019-02-07 03:33:00,127.0
12,Swen Parson,2/7/2019,walk through,2019-02-07 03:36:00,2019-02-07 03:39:00,3.0
13,Adams Hall,2/7/2019,get information about graduation/after graduation,2019-02-07 03:41:00,2019-02-07 03:49:00,8.0
14,Founders Library,2/7/2019,food,2019-02-07 03:54:00,2019-02-07 04:09:00,15.0
15,Parking Garage,2/7/2019,retrieve car,2019-02-07 04:12:00,2019-02-07 04:17:00,5.0
