,Building,Day,In,Out,Reason,Time_In,Time_Out,Time_Diff
0,Home,2/3/2019,00:01:00,15:30:00,"Cook, eat and sleep",2019-02-03 00:01:00,2019-02-03 15:30:00,929.0
1,Recreation centre,2/3/2019,15:40:00,17:00:00,Ping pong,2019-02-03 15:40:00,2019-02-03 17:00:00,80.0
2,Home,2/3/2019,17:10:00,09:45:00,"Cook, eat and sleep",2019-02-03 17:10:00,2019-02-03 09:45:00,-445.0
3,Cole Hall,2/4/2019,10:00:00,11:20:00,CSCI 522,2019-02-04 10:00:00,2019-02-04 11:20:00,80.0
4,Home,2/4/2019,11:35:00,12:15:00,Breakfast,2019-02-04 11:35:00,2019-02-04 12:15:00,40.0
5,Stevenson Towers,2/4/2019,12:30:00,16:20:00,Work,2019-02-04 12:30:00,2019-02-04 16:20:00,230.0
6,Home,2/4/2019,16:30:00,16:50:00,Lunch,2019-02-04 16:30:00,2019-02-04 16:50:00,20.0
7,CS Building,2/4/2019,17:00:00,18:20:00,CSCI 627,2019-02-04 17:00:00,2019-02-04 18:20:00,80.0
8,Home,2/4/2019,19:00:00,13:00:00,"Cook, eat and sleep",2019-02-04 19:00:00,2019-02-04 13:00:00,-360.0
9,CS Building,2/5/2019,13:05:00,15:15:00,CSCI 602,2019-02-05 13:05:00,2019-02-05 15:15:00,130.0
10,Stevenson Towers,2/5/2019,15:30:00,18:30:00,Work,2019-02-05 15:30:00,2019-02-05 18:30:00,180.0
11,Home,2/5/2019,18:45:00,10:05:00,"Cook, eat and sleep",2019-02-05 18:45:00,2019-02-05 10:05:00,-520.0
12,Cole Hall,2/6/2019,10:20:00,11:30:00,CSCI 522,2019-02-06 10:20:00,2019-02-06 11:30:00,70.0
13,Stevenson Towers,2/6/2019,11:45:00,15:35:00,Work,2019-02-06 11:45:00,2019-02-06 15:35:00,230.0
14,Home,2/6/2019,15:45:00,16:30:00,Lunch,2019-02-06 15:45:00,2019-02-06 16:30:00,45.0
15,CS Building,2/6/2019,16:35:00,18:10:00,CSCI 627,2019-02-06 16:35:00,2019-02-06 18:10:00,95.0
16,Home,2/6/2019,18:20:00,13:50:00,"Cook, eat and sleep",2019-02-06 18:20:00,2019-02-06 13:50:00,-270.0
17,CS Building,2/7/2019,14:00:00,15:10:00,CSCI 602,2019-02-07 14:00:00,2019-02-07 15:10:00,70.0
18,Stevenson Towers,2/7/2019,15:15:00,18:30:00,Work,2019-02-07 15:15:00,2019-02-07 18:30:00,195.0
19,Home,2/7/2019,18:40:00,22:00:00,Dinner,2019-02-07 18:40:00,2019-02-07 22:00:00,200.0
20,Walmart,2/7/2019,22:15:00,23:00:00,Shopping,2019-02-07 22:15:00,2019-02-07 23:00:00,45.0
21,Home,2/7/2019,23:15:00,18:00:00,Flix and chill,2019-02-07 23:15:00,2019-02-07 18:00:00,-315.0
22,Recreation centre,2/8/2019,18:10:00,20:00:00,Gym and Ping pong,2019-02-08 18:10:00,2019-02-08 20:00:00,110.0
23,Home,2/8/2019,20:10:00,17:00:00,Flix and chill,2019-02-08 20:10:00,2019-02-08 17:00:00,-190.0
24,Recreation centre,2/9/2019,17:10:00,19:00:00,Ping pong,2019-02-09 17:10:00,2019-02-09 19:00:00,110.0
25,Home,2/9/2019,22:10:00,23:59:00,Cleaning,2019-02-09 22:10:00,2019-02-09 23:59:00,109.0
