,Date,Building,Time_In,Time_Out,Reason,Time_Diff
0,2/2/2019,founders memorial library,2019-02-02 14:00:00,2019-02-02 16:00:00,work on assignment,120.0
1,2/2/2019,recreation center,2019-02-02 17:30:00,2019-02-02 19:00:00,workout,90.0
2,2/4/2019,adams hall,2019-02-04 09:30:00,2019-02-04 10:00:00,meeting,30.0
3,2/4/2019,computer science,2019-02-04 10:10:00,2019-02-04 11:00:00,meeting,50.0
4,2/4/2019,computer science,2019-02-04 17:00:00,2019-02-04 18:15:00,class,75.0
5,2/4/2019,recreation center,2019-02-04 19:00:00,2019-02-04 20:15:00,workout,75.0
6,2/5/2019,computer science,2019-02-05 11:00:00,2019-02-05 11:30:00,meeting,30.0
7,2/5/2019,holmes student center,2019-02-05 11:40:00,2019-02-05 12:20:00,job hunting,40.0
8,2/5/2019,cole hall,2019-02-05 12:45:00,2019-02-05 13:15:00,meeting,30.0
9,2/5/2019,recreation center,2019-02-05 16:00:00,2019-02-05 16:30:00,workout,30.0
10,2/6/2019,holmes student center,2019-02-06 11:00:00,2019-02-06 12:30:00,job hunting,90.0
11,2/6/2019,computer science,2019-02-06 17:00:00,2019-02-06 18:15:00,class,75.0
12,2/6/2019,recreation center,2019-02-06 20:00:00,2019-02-06 22:00:00,workout,120.0
13,2/7/2019,computer science,2019-02-07 11:00:00,2019-02-07 11:30:00,meeting,30.0
14,2/7/2019,founders memorial library,2019-02-07 11:40:00,2019-02-07 12:20:00,chill,40.0
15,2/7/2019,cole hall,2019-02-07 12:25:00,2019-02-07 13:45:00,class,80.0
16,2/7/2019,recreation center,2019-02-07 17:00:00,2019-02-07 19:00:00,workout,120.0
17,2/8/2019,recreation center,2019-02-08 16:00:00,2019-02-08 19:00:00,workout,180.0
18,2/9/2019,founders memorial library,2019-02-09 13:00:00,2019-02-09 16:00:00,work on assignment,180.0
19,2/9/2019,recreation center,2019-02-09 18:00:00,2019-02-09 19:00:00,workout,60.0
