,Date,Building,In,Out,Reason,Time_In,Time_Out,Time_Diff
0,2019/02/04,friends place,12:00:00,08:00:00,hangout,2019-02-04 12:00:00,2019-02-04 08:00:00,-240.0
1,2019/02/04,home,08:00:00,14:00:00,"cooking, gaming , studying",2019-02-04 08:00:00,2019-02-04 14:00:00,360.0
2,2019/02/04,recreational center,14:20:00,16:00:00,workout,2019-02-04 14:20:00,2019-02-04 16:00:00,100.0
3,2019/02/04,home,16:10:00,18:00:00,"fresh up, finish english assignment",2019-02-04 16:10:00,2019-02-04 18:00:00,110.0
4,2019/02/04,Mardi Gras Lanes,18:00:00,22:00:00,bowling,2019-02-04 18:00:00,2019-02-04 22:00:00,240.0
5,2019/02/04,Home,22:30:00,12:00:00,"dinner, laundry",2019-02-04 22:30:00,2019-02-04 12:00:00,-630.0
6,2019/02/05,home,12:00:00,08:00:00,sleep,2019-02-05 12:00:00,2019-02-05 08:00:00,-240.0
7,2019/02/05,Library,08:00:00,13:00:00,work ,2019-02-05 08:00:00,2019-02-05 13:00:00,300.0
8,2019/02/05,Home,13:30:00,16:30:00,"eat, read data vis papers",2019-02-05 13:30:00,2019-02-05 16:30:00,180.0
9,2019/02/05,Psychology Building,17:00:00,18:15:00,Data Visualisation class,2019-02-05 17:00:00,2019-02-05 18:15:00,75.0
10,2019/02/05,"Walmart, HyVee",18:30:00,20:30:00,Groceries Shopping,2019-02-05 18:30:00,2019-02-05 20:30:00,120.0
11,2019/02/06,Home,21:00:00,12:00:00,"eat, finish assignment",2019-02-06 21:00:00,2019-02-06 12:00:00,-540.0
12,2019/02/06,home,12:00:00,06:30:00,sleep,2019-02-06 12:00:00,2019-02-06 06:30:00,-330.0
13,2019/02/06,home,06:30:00,12:00:00,read IRS slides,2019-02-06 06:30:00,2019-02-06 12:00:00,330.0
14,2019/02/06,Reavis Hall,12:30:00,13:45:00,English class,2019-02-06 12:30:00,2019-02-06 13:45:00,75.0
15,2019/02/06,Psychology Building,13:45:00,15:15:00,Information Storage and Retrival Class,2019-02-06 13:45:00,2019-02-06 15:15:00,90.0
16,2019/02/06,Library,16:00:00,22:00:00,work,2019-02-06 16:00:00,2019-02-06 22:00:00,360.0
17,2019/02/07,Home,12:00:00,08:30:00,sleep,2019-02-07 12:00:00,2019-02-07 08:30:00,-210.0
18,2019/02/07,Starbucks,10:00:00,14:00:00,study,2019-02-07 10:00:00,2019-02-07 14:00:00,240.0
19,2019/02/07,Home,14:20:00,16:30:00,"lunch, assignment corrections",2019-02-07 14:20:00,2019-02-07 16:30:00,130.0
20,2019/02/07,Psychology Building,17:00:00,18:15:00,Data Visualisation class,2019-02-07 17:00:00,2019-02-07 18:15:00,75.0
21,2019/02/07,home,18:30:00,12:00:00,datacamp courses,2019-02-07 18:30:00,2019-02-07 12:00:00,-390.0
22,2019/02/08,Home,12:00:00,04:00:00,watched environment documentaries,2019-02-08 12:00:00,2019-02-08 04:00:00,-480.0
23,2019/02/08,Reavis Hall,12:30:00,13:45:00,English class,2019-02-08 12:30:00,2019-02-08 13:45:00,75.0
24,2019/02/08,Psychology Building,13:45:00,15:15:00,Information Storage and Retrival Class,2019-02-08 13:45:00,2019-02-08 15:15:00,90.0
25,2019/02/08,Library,16:00:00,20:00:00,Work,2019-02-08 16:00:00,2019-02-08 20:00:00,240.0
26,2019/02/08,recreational center,20:30:00,22:00:00,workout,2019-02-08 20:30:00,2019-02-08 22:00:00,90.0
27,2019/02/09,home,12:00:00,15:00:00,"sleep, study, cook",2019-02-09 12:00:00,2019-02-09 15:00:00,180.0
28,2019/02/09,Recreational Center,15:30:00,17:00:00,Table Tennis,2019-02-09 15:30:00,2019-02-09 17:00:00,90.0
29,2019/02/09,"Gurukrupa,Walmart",18:00:00,19:00:00,Groceries Shopping,2019-02-09 18:00:00,2019-02-09 19:00:00,60.0
30,2019/02/09,Home,19:30:00,23:00:00,datacamp courses,2019-02-09 19:30:00,2019-02-09 23:00:00,210.0
31,2019/02/09,Mollys,23:00:00,12:00:00,chill,2019-02-09 23:00:00,2019-02-09 12:00:00,-660.0
