,Unnamed: 0,building,reason,time_diff
0,0,Faraday,Work,295.0
1,1,Library,coffee,25.0
2,2,Faraday,grab laptop,15.0
3,3,CS,class,90.0
4,4,Faraday,grab backpack,5.0
5,5,Faraday,Work,235.0
6,6,Library,coffee,25.0
7,7,Faraday,Work,45.0
8,8,CS,class,90.0
9,9,Faraday,grab backpack,5.0
10,10,Faraday,work,210.0
11,11,CS,CSCI 627,170.0
12,12,CS,CSCI 503,104.0
13,13,CS,Meet with CSCI 503 TA,95.0
14,14,Reavis Hall,Meet with a friend,10.0
15,15,Adams,Consultation,25.0
16,16,CS,CSCI 627,142.0
17,17,CS,CSCI 503,92.0
18,18,Library,Self study,103.0
19,19,Library,Self study,134.0
20,20,Recreation,Playing Basketball,96.0
21,21,Library,Studying Algorithms,120.0
22,22,Recreation,Gym,45.0
23,23,CS,CSCI627 Class,75.0
24,24,CS,CSCI602 Class,75.0
25,25,Recreation,Gym,60.0
26,26,CS,CSCI627 Class,75.0
27,27,Recreation,Gym,60.0
28,28,CS,CSCI602 Class,75.0
29,29,Recreation,Gym,60.0
30,30,Williston,ISFO,30.0
31,31,Library,Project Work,80.0
32,32,CS,Data visualization course,99.0
33,33,CS,Python course,79.0
34,34,CS,Algorithm course,90.0
35,35,Recreation,work out,105.0
36,36,Library,studying,182.0
37,37,CS,Data visualization course,93.0
38,38,CS,Python course,85.0
39,39,CS,Algorithm course,90.0
40,40,Recreation,Gym and Volleyball,120.0
41,41,CS,Data Visualization,89.0
42,42,CS,Python,90.0
43,43,CS,Class,95.0
44,44,CS,Data Visualization,89.0
45,45,CS,Python,113.0
46,46,CS,Class,100.0
47,47,Recreation,Gym and Volleyball,127.0
48,48,Holmes,ISA Meeting,54.0
49,49,Library,Study,217.0
50,50,Recreation,Gym and Volleyball,102.0
51,51,Library,Applied to jobs and Explored Front End Technologies,240.0
52,52,Recreation,Table Tennis and Lawn Tennis,120.0
53,53,Library,"Data visualization Assignment, Readings",230.0
54,54,CS,Data visualization Lecture,75.0
55,55,Recreation,Badminton,104.0
56,56,Library,"Applied to jobs, studied ASP.Net and borrowed a book",300.0
57,57,Recreation,Badminton,140.0
58,58,Williston,Picked up the Underload Form at ISFO,15.0
59,59,CS,Other,15.0
60,60,CS,Data Visualization Lecture,75.0
61,61,Library,"Applied to jobs, studied  HTML5 and explored some of the best web applications built. ",194.0
62,62,Recreation,Lawn Tennis and Badminton,155.0
63,63,Recreation,Badminton and Table Tennis,119.0
64,64,CS,Picked up the Underload Form from the CS dept,6.0
65,65,Williston,Other,11.0
66,66,Recreation,Badminton,77.0
67,67,Recreation,Badminton,118.0
68,68,Writz Hall,Chinese New Year Active,90.0
69,69,Recreation,Fitness,88.0
70,70,CS,Data Visualization Class,90.0
71,71,CS,Python Class,95.0
72,72,CS,Algorithm Class,95.0
73,73,Recreation,Fitness,96.0
74,74,Recreation,Fitness,45.0
75,75,Library,homework,175.0
76,76,CS,Data Visualization Class,85.0
77,77,CS,Python Class,95.0
78,78,CS,Algorithm Class,175.0
79,79,Recreation,Fitness,45.0
80,80,Engineering,Robotic Club,50.0
81,81,Campus Life,Chinese New Year Active,300.0
82,82,Recreation,Fitness,119.0
83,83,CS,CSCI 627,95.0
84,84,Gabel Hall,Meet with an RA,10.0
85,85,CS,CSCI 503,95.0
86,86,Gilbert,Lunch,70.0
87,87,CS,CSCI 642,85.0
88,88,Library,Library,70.0
89,89,CS,CSCI 627,95.0
90,90,CS,CSCI 503,95.0
91,91,CS,CSCI 642,90.0
92,92,Faraday,Meet with TA for CSCI 503 ,20.0
93,93,Faraday,Meet with TA for CSCI 322,10.0
94,94,Cole,Android Programming Class,85.0
