,Day,Time_In,Time_Out,Location,Reason,Time_Diff
0,2/4/19,2019-02-04 11:00:00,2019-02-04 15:55:00,Faraday,work,295.0
1,2/4/19,2019-02-04 16:00:00,2019-02-04 16:25:00,Library,coffee,25.0
2,2/4/19,2019-02-04 16:30:00,2019-02-04 16:45:00,Faraday,grab laptop,15.0
3,2/4/19,2019-02-04 16:50:00,2019-02-04 18:20:00,CSCI,class,90.0
4,2/4/19,2019-02-04 18:25:00,2019-02-04 18:30:00,Faraday,grab backpack,5.0
5,2/6/19,2019-02-06 11:30:00,2019-02-06 15:25:00,Faraday,work,235.0
6,2/6/19,2019-02-06 15:30:00,2019-02-06 15:55:00,Library,coffee,25.0
7,2/6/19,2019-02-06 16:00:00,2019-02-06 16:45:00,Faraday,work,45.0
8,2/6/19,2019-02-06 16:50:00,2019-02-06 18:20:00,CSCI,class,90.0
9,2/6/19,2019-02-06 18:25:00,2019-02-06 18:30:00,Faraday,grab backpack,5.0
10,2/8/19,2019-02-08 13:30:00,2019-02-08 17:00:00,Faraday,work,210.0
